batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=23.ckpt,23,0.718139534883721,27,128,45.6861,12.5144,0.0018,4.0363,1.2606,9.2831,0.6243,-5824.5144,0.0001,0.0005,0.0,0.0002,0.0004,0.0032,0.0611,11.9495
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=24.ckpt,24,0.7190697674418605,27,128,46.9881,12.5622,0.0019,3.9979,1.2665,10.6383,0.6189,-5988.0009,0.0001,0.0006,0.0,0.0002,0.0004,0.0031,0.061,10.9074
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=25.ckpt,25,0.7116279069767442,27,128,45.5842,12.4751,0.0018,4.0269,1.2487,9.9412,0.6355,-5843.0656,0.0001,0.0005,0.0,0.0002,0.0004,0.0032,0.0602,10.1905
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=26.ckpt,26,0.7293023255813953,27,128,46.8744,11.935,0.0019,4.0091,1.2692,10.1793,0.6156,-6026.4551,0.0001,0.0006,0.0,0.0002,0.0004,0.0032,0.0636,12.9667
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=27.ckpt,27,0.72,27,128,46.1523,11.9457,0.0018,4.0238,1.2548,10.5423,0.6295,-5972.7036,0.0001,0.0005,0.0,0.0002,0.0004,0.0032,0.0608,12.2271
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=28.ckpt,28,0.7302325581395349,27,128,46.2727,11.8435,0.0018,4.0174,1.2572,9.8742,0.6269,-6023.7839,0.0001,0.0007,0.0,0.0002,0.0004,0.003,0.0617,11.4952
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=29.ckpt,29,0.7283720930232558,27,128,46.1253,11.747,0.0018,4.0232,1.2489,9.6908,0.6353,-5992.0218,0.0001,0.0005,0.0,0.0002,0.0004,0.0033,0.0601,13.7275
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=00.ckpt,0,0.6874418604651162,28,128,22.7846,25.4398,0.0009,4.5476,1.2056,3.2392,0.6916,-1530.4264,0.0001,0.0005,0.0,0.0002,0.0004,0.0031,0.0637,5.5732
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=01.ckpt,1,0.6827906976744186,28,128,28.52,22.4154,0.0016,4.3333,1.526,2.3105,0.4691,-2642.1767,0.0001,0.0006,0.0,0.0002,0.0004,0.0031,0.0631,5.9092
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=02.ckpt,2,0.6986046511627907,28,128,31.7022,20.6251,0.0018,4.2316,1.3913,4.3597,0.5225,-3212.901,0.0001,0.0007,0.0,0.0002,0.0004,0.0031,0.0628,5.687
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=03.ckpt,3,0.6967441860465117,28,128,33.5692,21.1717,0.002,4.2044,1.4389,4.4973,0.494,-3397.014,0.0001,0.0005,0.0,0.0002,0.0004,0.003,0.0602,6.4774
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=04.ckpt,4,0.7004651162790698,28,128,33.9442,21.0875,0.002,4.1864,1.4133,3.887,0.5098,-3515.5773,0.0001,0.0006,0.0,0.0002,0.0004,0.003,0.0601,5.9618
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=05.ckpt,5,0.6986046511627907,28,128,34.7943,20.755,0.0019,4.1993,1.32,7.5015,0.5755,-3574.0346,0.0001,0.0006,0.0,0.0002,0.0004,0.0032,0.0637,6.0569
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=06.ckpt,6,0.7097674418604651,28,128,35.4813,19.778,0.0019,4.1606,1.2818,6.6026,0.6038,-3748.7361,0.0001,0.0005,0.0,0.0002,0.0004,0.003,0.0615,5.9586
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=07.ckpt,7,0.7088372093023256,28,128,38.5629,19.845,0.0021,4.1682,1.3473,7.1663,0.5566,-4105.2617,0.0001,0.0007,0.0,0.0002,0.0005,0.0034,0.0643,6.4222
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=08.ckpt,8,0.693953488372093,28,128,37.9001,18.6838,0.002,4.1594,1.2977,6.4212,0.592,-4073.4851,0.0001,0.0006,0.0,0.0002,0.0004,0.0032,0.0636,6.1672
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=09.ckpt,9,0.6995348837209302,28,128,38.0942,18.4696,0.002,4.143,1.2813,7.1651,0.6058,-4201.2377,0.0001,0.0005,0.0,0.0002,0.0004,0.0033,0.0598,6.6473
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=10.ckpt,10,0.706046511627907,28,128,40.3533,18.3895,0.0022,4.1509,1.3302,7.5736,0.5681,-4383.3125,0.0001,0.0006,0.0,0.0002,0.0004,0.0031,0.0614,6.6383
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=11.ckpt,11,0.6855813953488372,28,128,40.5429,18.0673,0.0022,4.1481,1.3191,7.4968,0.5764,-4432.925,0.0001,0.0006,0.0,0.0002,0.0004,0.0032,0.0615,7.7049
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=12.ckpt,12,0.7106976744186047,28,128,41.5287,18.2564,0.0023,4.1316,1.3358,7.7237,0.5614,-4622.7886,0.0001,0.0008,0.0,0.0002,0.0004,0.0032,0.0631,7.6406
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=13.ckpt,13,0.7013953488372093,28,128,41.5785,18.1375,0.0023,4.1107,1.3238,7.21,0.5705,-4676.6451,0.0001,0.0006,0.0,0.0002,0.0004,0.0031,0.0601,7.2078
