batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=00.ckpt,0,0.43083333333333335,15,128,33.1139,3.9915,0.0013,4.376,1.1785,6.2094,0.7196,-711.4819,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0014,0.2141
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=01.ckpt,1,0.44472222222222224,15,128,38.5489,3.5054,0.0013,4.247,1.1693,7.2063,0.729,-855.7766,0.0001,0.0001,0.0,0.0002,0.0001,0.0021,0.0016,0.2608
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=02.ckpt,2,0.4666666666666667,15,128,41.0999,3.0593,0.0011,4.1304,1.1526,7.9883,0.75,-944.6683,0.0001,0.0002,0.0,0.0002,0.0001,0.0021,0.0016,0.2724
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=03.ckpt,3,0.47944444444444445,15,128,41.0894,2.8639,0.0008,4.0541,1.1321,7.7893,0.7782,-972.626,0.0001,0.0002,0.0,0.0002,0.0001,0.0021,0.0015,0.244
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=04.ckpt,4,0.47805555555555557,15,128,42.8048,2.5131,0.0008,3.9746,1.1339,7.7233,0.7754,-1018.7285,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0015,0.2344
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=05.ckpt,5,0.4955555555555556,15,128,42.3373,2.4584,0.0006,3.9738,1.1234,7.7424,0.7906,-1035.9027,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0015,0.2323
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=06.ckpt,6,0.4936111111111111,15,128,45.0226,2.4206,0.0007,3.8434,1.1353,8.0343,0.7739,-1091.8647,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0015,0.2369
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=07.ckpt,7,0.49916666666666665,15,128,45.2312,2.2555,0.0006,3.8242,1.1333,7.5236,0.7764,-1113.023,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0015,0.2436
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=08.ckpt,8,0.5155555555555555,15,128,45.3282,2.1654,0.0005,3.7642,1.1273,7.8059,0.785,-1115.5029,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0014,0.2299
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=09.ckpt,9,0.5038888888888889,15,128,46.7272,2.2348,0.0005,3.6826,1.1327,7.7873,0.7778,-1148.1917,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0015,0.2381
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=10.ckpt,10,0.5136111111111111,15,128,47.0173,2.1234,0.0005,3.6543,1.1307,8.1397,0.7801,-1151.0878,0.0001,0.0002,0.0,0.0002,0.0001,0.002,0.0015,0.232
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=11.ckpt,11,0.5066666666666667,15,128,47.0678,2.1256,0.0006,3.6469,1.1321,7.962,0.7785,-1162.7519,0.0001,0.0001,0.0,0.0002,0.0001,0.0019,0.0015,0.2318
