batch_size,learning_rate,split_count,cnt_min,cnt_max,checkpoint,epoch_num,accuracy,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser
64,0.004,5,25,100,checkpoints/model_64_0.004_5_25_100epoch=00.ckpt,0,0.665989847715736,72.7175,23.3984,0.0,9.8339,1.1506,9.8793,0.7522,-17871.7317,0.0002,0.0028,0.0,0.0004,0.0026,0.0203,0.2295,21.0843
64,0.004,5,25,100,checkpoints/model_64_0.004_5_25_100epoch=01.ckpt,1,0.683248730964467,70.7158,23.3983,0.0,9.9697,1.1438,9.2565,0.762,-17027.2125,0.0002,0.0031,0.0,0.0004,0.002,0.0178,0.2297,20.9534
64,0.004,5,25,100,checkpoints/model_64_0.004_5_25_100epoch=02.ckpt,2,0.6710659898477157,69.5904,23.397,0.0,9.8701,1.1401,9.3854,0.7672,-16745.7878,0.0002,0.0029,0.0,0.0004,0.002,0.0177,0.2353,19.8202
64,0.004,5,25,100,checkpoints/model_64_0.004_5_25_100epoch=03.ckpt,3,0.6781725888324873,69.5166,23.3984,0.0,9.9385,1.1446,9.2054,0.7603,-16938.2774,0.0002,0.0026,0.0,0.0004,0.002,0.0185,0.2349,20.4334
64,0.004,5,25,100,checkpoints/model_64_0.004_5_25_100epoch=04.ckpt,4,0.6893401015228426,68.7143,23.3984,0.0,9.9143,1.1453,9.9144,0.7599,-16934.0688,0.0002,0.003,0.0,0.0004,0.003,0.0193,0.2345,20.6556
128,0.001,3,10,50,checkpoints/model_128_0.001_3_10_50epoch=00.ckpt,0,0.6791878172588832,75.4626,23.3984,0.0,9.5171,1.1597,13.4816,0.7417,-19242.7928,0.0002,0.0025,0.0,0.0004,0.0032,0.0181,0.2318,22.5999
128,0.001,3,10,50,checkpoints/model_128_0.001_3_10_50epoch=01.ckpt,1,0.6883248730964467,76.1285,23.3984,0.0,9.4859,1.1611,13.8703,0.74,-19450.7331,0.0002,0.0029,0.0,0.0004,0.0021,0.0193,0.2328,22.5895
128,0.001,3,10,50,checkpoints/model_128_0.001_3_10_50epoch=02.ckpt,2,0.7065989847715736,76.1396,23.3984,0.0,9.3216,1.1602,13.4741,0.741,-19508.8074,0.0002,0.0029,0.0,0.0004,0.0021,0.0182,0.2305,23.5553
128,0.001,3,10,50,checkpoints/model_128_0.001_3_10_50epoch=03.ckpt,3,0.6812182741116751,76.3067,23.3984,0.0,9.2736,1.1612,13.8112,0.74,-19474.7275,0.0002,0.0029,0.0,0.0004,0.002,0.0175,0.231,23.7814
128,0.001,3,10,50,checkpoints/model_128_0.001_3_10_50epoch=04.ckpt,4,0.6903553299492385,76.4915,23.3984,0.0,9.135,1.1609,13.5985,0.7402,-19501.544,0.0002,0.003,0.0,0.0004,0.0022,0.0191,0.2823,22.9867
128,0.001,3,10,100,checkpoints/model_128_0.001_3_10_100epoch=00.ckpt,0,0.6720812182741117,75.8345,23.3984,0.0,8.9252,1.161,12.3515,0.7402,-18645.8605,0.0002,0.0029,0.0,0.0004,0.0019,0.0179,0.2299,22.7011
128,0.001,3,10,100,checkpoints/model_128_0.001_3_10_100epoch=01.ckpt,1,0.6802030456852792,75.9601,23.3984,0.0,8.755,1.1634,12.2412,0.7366,-18758.0254,0.0002,0.0034,0.0,0.0004,0.0021,0.0184,0.2352,22.615
